Artist Name,Product Code,Item Name,Item Type,,,,,,,,,,,,,,,GBP (),Est. USD (),Est. Euro ()
Artist Name,Product Code,Item Name,Item Type,Quantity,USD,GBP (£),Notes,,,,,USD (from field),USD (calculated),GBP (calculated from USD field),Final GBP,GBP (Calculated and rounded),Final Euro (calculated and rounded),Final GBP,USD (calculated),Final Euro (calculated and rounded)
Atien,BR18,Mark Pointer 1x,Accessory,,$1.35,£1.00,,,,,,$1.35,$1.25,$1.00,£1.00,£1.00,€1.00,£1.00,$1.25,€1.00
Atien,BR19,Specific Token 4x,Accessory,,$2.69,£2.00,Boomerang - Botulus - GameDragon - Physarum - Matching Token,,,,,$2.69,$2.75,$1.99,£2.00,£2.00,€2.50,£2.00,$2.75,€2.50
Atien,BR20,Credit Set (15x1cred + 5x5cred),Accessory,,$10.77,£8.00,,,,,,$10.77,$10.75,$7.97,£8.00,£8.00,€9.00,£8.00,$10.75,€9.00
Atien,BR21,1 spare token of any kind (please write the token type in the order form),Accessory,,$1.35,£1.00,,,,,,$1.35,$1.25,$1.00,£1.00,£1.00,€1.00,£1.00,$1.25,€1.00
Cobalt,CO1,Fully Operational,Alt Art Card Set,30,$6.82,£5.00,Playset of 3; intended sale price £5 ($6.82 at current exchange rate),,,,,$6.82,$6.75,$5.05,£5.00,£5.00,€6.00,£5.00,$6.75,€6.00
Cobalt,CO2,Eye for an Eye,Alt Art Card Set,30,$6.82,£5.00,Playset of 3; intended sale price £5 ($6.82 at current exchange rate),,,,,$6.82,$6.75,$5.05,£5.00,£5.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE1,A-Teia,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE2,Alarm Clock,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE3,Amaze Amusements,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE4,Anenome,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE5,Angelique Garza Correa,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE6,Anthill Excavation Contract,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE7,Arrissana Zodiac,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE8,Arrucerrias Crew,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE9,Au Co,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE10,Audrey V2,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE11,Azmari EllessarEllie,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE12,Baby Octopus Crochet,Accessory,,,£0.00,Free gift for purchasing alt art (first come first serve),,,,,,$0.00,0,£0.00,£0.00,€0.00,£0.00,$0.00,€0.00
Mr. Ellie,EE13,Balanced coverage,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE14,Bangun,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE15,Bangun Zodiac,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE16,Banner - Surveyor,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE17,Banner Bisexual,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE18,Banner Gay,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE19,Banner Lesbian,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE20,Banner Plain,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE21,Banner Pride,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
Mr. Ellie,EE22,Bass Chiriboga,Alt Art Card Single,,,£5.00,,,,,,,$6.75,0,£5.00,£0.00,€6.00,£5.00,$6.75,€6.00
